id,name,type,status,commerce,size,latitude,longitude,region,city,state
1509,BOD. CENTRAL #3,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1510,CENTRO - ANEXO,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1511,URDESA,TIENDA,1,PYCCA,485.31,-2.174087218,-79.9064085,GUAYAQUIL,GUAYAQUIL,GUAYAS
1512,CENTRO - GYE,TIENDA,1,PYCCA,3152.19,-2.1912425,-79.8840266,GUAYAQUIL,GUAYAQUIL,GUAYAS
1513,ROTONDA,TIENDA,1,PYCCA,2528.85,-2.1390866,-79.9082623,GUAYAQUIL,GUAYAQUIL,GUAYAS
1514,POLICENTRO,TIENDA,1,PYCCA,2524.25,-2.170777,-79.9002278,GUAYAQUIL,GUAYAQUIL,GUAYAS
1515,SUR,TIENDA,1,PYCCA,3234.16,-2.230109286,-79.89672832,GUAYAQUIL,GUAYAQUIL,GUAYAS
1516,BOD/QUITO,BODEGA,0,,0,,,,QUITO,PICHINCHA
1517,EL BOSQUE,TIENDA,1,PYCCA,1986.59,-0.1621245,-78.4979911,QUITO,QUITO,PICHINCHA
1518,CENTRO - QUITO,TIENDA,1,PYCCA,1266.53,-0.2218235,-78.511622,QUITO,QUITO,PICHINCHA
1519,BOD. CENTRAL #1,BODEGA,1,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1520,TRANSITO,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1521,BOD. CENTRAL #5,BODEGA,1,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1522,CUARTO MUESTRAS,BODEGA,1,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1523,SAN LUIS,TIENDA,1,PYCCA,2016.92,-0.3084901,-78.4501451,QUITO,QUITO,PICHINCHA
1524,CALIFORNIA #1,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1525,MANTA - MALL DEL PACIFICO,TIENDA,1,PYCCA,859.61,-0.941905546,-80.73292713,PROV. COSTA,MANTA,MANABI
1526,AVERIADO CD,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1527,EL RECREO,TIENDA,1,PYCCA,1064.68,-0.2520893,-78.5235089,QUITO,QUITO,PICHINCHA
1528,TALLER CARPINTERIA,N/A,1,,0,,,,GUAYAQUIL,GUAYAS
1529,SAN MARINO,TIENDA,1,PYCCA,686.59,-2.1694297,-79.898296,GUAYAQUIL,GUAYAQUIL,GUAYAS
1530,MANTA (ANTIGUO),TIENDA,0,PYCCA,0,,,PROV. COSTA,MANTA,MANABI
1531,BOD. CENTRAL #2,BODEGA,0,,0,,,,GUAYAQUIL,GUAYAS
1532,ALBORADA,TIENDA,0,PYCCA,346,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1533,OULET SUCRE,TIENDA,0,PYCCA,340,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1534,AMBATO - MALL DE LOS ANDES,TIENDA,1,PYCCA,329.51,-1.2653198,-78.6278845,PROV. SIERRA,AMBATO,TUNGURAHUA
1535,STO. DOMINGO,TIENDA,1,PYCCA,544.1,-0.2523039,-79.1653092,PROV. COSTA,SANTO DOMINGO,STO. DOMINGO TSACHILAS
1536,GIGANTE,TIENDA,1,PYCCA,1963.52,-2.1847767,-79.8819405,GUAYAQUIL,GUAYAQUIL,GUAYAS
1537,MILAGRO,TIENDA,1,PYCCA,1133,-2.136061842,-79.5944556,PROV. COSTA,MILAGRO,GUAYAS
1538,CUENCA,TIENDA,1,PYCCA,396.05,-2.905909959,-79.00499255,PROV. SIERRA,CUENCA,AZUAY
1539,CONSIGNACION,BODEGA,0,,0,,,,GUAYAQUIL,GUAYAS
1540,BOD. CENTRAL #6,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1541,PARQUEO,N/A,0,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1542,LA PIAZZA - SAMBORONDON,TIENDA,1,PYCCA,2115.26,-2.1442191,-79.8618769,GUAYAQUIL,SAMBORONDON,GUAYAS
1543,QUICENTRO SUR,TIENDA,1,PYCCA,2864.75,-0.2847582,-78.5435289,QUITO,QUITO,PICHINCHA
1544,MALL DEL SOL - ANEXO,TIENDA,0,PYCCA,0,-2.1558571,-79.8942508,GUAYAQUIL,GUAYAQUIL,GUAYAS
1545,MALL DEL SOL,TIENDA,1,PYCCA,1271.8,-2.1552255,-79.892692,GUAYAQUIL,GUAYAQUIL,GUAYAS
1546,LA LIBERTAD - P. SHOPPING,TIENDA,1,PYCCA,364.01,-2.225864991,-80.92086717,PROV. COSTA,LA LIBERTAD,SANTA ELENA
1547,MACHALA - LA PIAZZA,TIENDA,0,PYCCA,576.56,-3.271673459,-79.9413453,PROV. COSTA,MACHALA,EL ORO
1548,QUEVEDO - P. SHOPPING,TIENDA,1,PYCCA,273.28,-1.00946032,-79.46922323,PROV. COSTA,QUEVEDO,LOS RIOS
1549,RIOBAMBA,TIENDA,0,PYCCA,1287.83,,,PROV. SIERRA,RIOBAMBA,CHIMBORAZO
1550,PLAZA 9,TIENDA,1,PYCCA,797,-2.119554187,-79.93225118,GUAYAQUIL,GUAYAQUIL,GUAYAS
1551,UNICENTRO,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1552,TALLER ELECTRO,N/A,1,,0,,,,GUAYAQUIL,GUAYAS
1553,BABAHOYO - P. SHOPPING,TIENDA,1,PYCCA,1088.71,-1.8129156,-79.5455358,PROV. COSTA,BABAHOYO,LOS RIOS
1554,GARANTIAS GYE,N/A,1,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1555,GARANTIA QTO,N/A,1,,0,,,,QUITO,PICHINCHA
1556,LATACUNGA - MALTERIA PLAZA,TIENDA,1,PYCCA,451.9,-0.9259776,-78.6256937,PROV. SIERRA,LATACUNGA,COTOPAXI
1557,PLAZA 9 - ELECTRO,TIENDA,0,PYCCA,0,-2.119554187,-79.93225118,GUAYAQUIL,GUAYAQUIL,GUAYAS
1558,PLAZA 9 - CALZADO,TIENDA,0,PYCCA,0,-2.119554187,-79.93225118,GUAYAQUIL,GUAYAQUIL,GUAYAS
1559,OULET PLAZA 9,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1560,OULET,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1561,BOD RESERV. GYE,N/A,1,,0,,,,GUAYAQUIL,GUAYAS
1562,BOD. CENTRAL #4,BODEGA,0,,0,,,,GUAYAQUIL,GUAYAS
1563,PLAZA 9 II,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1564,SAN MARINO II,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1565,EL FORTIN,TIENDA,1,PYCCA,1428.76,-2.1093609,-79.9487553,GUAYAQUIL,GUAYAQUIL,GUAYAS
1566,DURAN - P. SHOPPING,TIENDA,1,PYCCA,933.48,-2.1781806,-79.8253177,PROV. COSTA,DURAN,GUAYAS
1567,CREDITO DIRECTO,N/A,0,,0,,,,GUAYAQUIL,GUAYAS
1568,MATRIZ,TIENDA,1,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1569,ON LINE - PYCCA,TIENDA,1,PYCCA,0,-2.1912425,-79.8840266,ON LINE,GUAYAQUIL,GUAYAS
1570,BOD. CENTRAL #0,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1571,BOD. CENTRAL #7,BODEGA,0,,0,,,,QUITO,PICHINCHA
1572,EL CONDADO,TIENDA,1,PYCCA,1323.59,-0.1029324,-78.4904138,QUITO,QUITO,PICHINCHA
1573,RC - EL DORADO,TIENDA,1,PYCCA,1594.79,-2.0559285,-79.872245,GUAYAQUIL,DAULE,GUAYAS
1574,EL FORTIN - ANEXO,TIENDA,0,PYCCA,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1575,BOD. MERCHANDISING,BODEGA,1,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1576,BOD RESERV. UIO,N/A,1,,0,,,,QUITO,PICHINCHA
1577,POLIP. MACHALA - P. SHOPPING,TIENDA,1,POLIPAPEL,44.46,-3.2717145,-79.9412951,PROV. COSTA,MACHALA,EL ORO
1578,POLIP. RC - ENTRERIOS,TIENDA,1,POLIPAPEL,71.5,-2.1417425,-79.864828,GUAYAQUIL,SAMBORONDON,GUAYAS
1579,POLIP. DURAN - P. SHOPPING,TIENDA,1,POLIPAPEL,110.6,-2.1781806,-79.8253177,PROV. COSTA,DURAN,GUAYAS
1580,POLIP. ALBAN BORJA,TIENDA,1,POLIPAPEL,104.42,-2.1693832,-79.9170358,GUAYAQUIL,GUAYAQUIL,GUAYAS
1581,POLIP. W.T.C.,TIENDA,1,POLIPAPEL,41.84,-2.1632953,-79.8979804,GUAYAQUIL,GUAYAQUIL,GUAYAS
1582,POLIP. RC - NORTE,TIENDA,1,POLIPAPEL,72.12,-2.1276326,-79.9067467,GUAYAQUIL,GUAYAQUIL,GUAYAS
1583,POLIP. POLICENTRO,TIENDA,1,POLIPAPEL,232,-2.170777,-79.9002278,GUAYAQUIL,GUAYAQUIL,GUAYAS
1584,POLIP. RC - CEIBOS,TIENDA,1,POLIPAPEL,113.48,-2.1761074,-79.9428293,GUAYAQUIL,GUAYAQUIL,GUAYAS
1585,RC - CEIBOS,TIENDA,1,PYCCA,1165.24,-2.1761074,-79.9428293,GUAYAQUIL,GUAYAQUIL,GUAYAS
1586,EL DORADO - ANEXO,TIENDA,0,PYCCA,0,,,GUAYAQUIL,DAULE,GUAYAS
1587,BOD. PROVEEDURIA,N/A,1,,0,,,,GUAYAQUIL,GUAYAS
1588,POLIP. MALL DEL SUR,TIENDA,1,POLIPAPEL,75.09,-2.2290807,-79.8985239,GUAYAQUIL,GUAYAQUIL,GUAYAS
1589,POLIP. EL RECREO,TIENDA,0,POLIPAPEL,0,-0.2520893,-78.5235089,QUITO,QUITO,PICHINCHA
1590,POLIP. CENTRO - GYE,TIENDA,1,POLIPAPEL,60.94,-2.191405538,-79.88407558,GUAYAQUIL,GUAYAQUIL,GUAYAS
1591,CREDIPYCCA EMPRESARIAL GYE,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1592,BOD CARPA,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1593,BOD. CENTRAL #7UIO,BODEGA,0,,0,,,QUITO,QUITO,PICHINCHA
1598,POLIP. PASEO SAN FRANCISCO,TIENDA,1,POLIPAPEL,172.72,-0.1989303,-78.4368521,QUITO,QUITO,PICHINCHA
1599,C.C.I. (ANTIGUO),TIENDA,0,PYCCA,0,,,QUITO,QUITO,PICHINCHA
1600,CALIFORNIA,TIENDA,1,PYCCA,805.34,-2.0977911,-79.937768,GUAYAQUIL,GUAYAQUIL,GUAYAS
1601,POLIP. GIGANTE,TIENDA,0,POLIPAPEL,0,-2.1847767,-79.8819405,GUAYAQUIL,GUAYAQUIL,GUAYAS
1602,C.C.I.,TIENDA,1,PYCCA,1401.52,-0.17814020258656324," -78.48579045844573",QUITO,QUITO,PICHINCHA
1604,POLIPAPEL CATEGORIAS,BODEGA,1,,0,-2.1912425,-79.8840266,GUAYAQUIL,GUAYAQUIL,GUAYAS
1605,ON LINE - POLIPAPEL,TIENDA,1,POLIPAPEL,0,-2.1912425,-79.8840266,ON LINE,GUAYAQUIL,GUAYAS
1606,IBARRA - LAGUNA MALL,TIENDA,1,PYCCA,845.49,0.34882578012884535," -78.1257504557394",PROV. SIERRA,IBARRA,IMBABURA
1611,ENTREGAS DOMICILIO,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1612,OFICINA ETNIA,BODEGA,1,,0,,,GUAYAQUIL,GUAYAQUIL,GUAYAS
1613,EL PORTAL,TIENDA,1,PYCCA,1227.34,-0.10858356302134527," -78.45788325043",QUITO,QUITO,PICHINCHA
1615,POLIP. MALL DEL SOL,TIENDA,1,POLIPAPEL,141.81,-2.1552255,-79.892692,GUAYAQUIL,GUAYAQUIL,GUAYAS
1616,POLIP. ROTONDA,TIENDA,1,POLIPAPEL,82.26,-2.1390866,-79.9082623,GUAYAQUIL,GUAYAQUIL,GUAYAS
1617,POLIP. RC - EL DORADO,TIENDA,1,POLIPAPEL,91.84,-2.0559285,-79.872245,GUAYAQUIL,DAULE,GUAYAS
1623,POLIP. MANTA - P. SHOPPING,TIENDA,1,POLIPAPEL,44.36,-0.966131698,-80.70534371,PROV. COSTA,MANTA,MANABI
1624,POLIP. LIBERTAD - P. SHOPPING,TIENDA,1,POLIPAPEL,39.9,-2.226169376,-80.92106428,PROV. COSTA,LA LIBERTAD,SANTA ELENA
1627,POLIP. C.C.I.,TIENDA,1,POLIPAPEL,102.43,-0.1782188165639081,-78.48580396922678,QUITO,QUITO,PICHINCHA
1630,BODEGA CLUB PYCCA,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1631,POLIP. LA PIAZZA - C. CELESTE,TIENDA,1,POLIPAPEL,96.08,-2.073165922,-79.84731724,GUAYAQUIL,SAMBORONDON,GUAYAS
1632,POLIP. VILLA CLUB,TIENDA,1,POLIPAPEL,115.68,-2.046930448783922,-79.89033597413389,GUAYAQUIL,DAULE,GUAYAS
1633,POLIP. GIGANTE (ISLA),TIENDA,1,POLIPAPEL,63.69,-2.1847767,-79.8819405,GUAYAQUIL,GUAYAQUIL,GUAYAS
1634,BODEGA MARKETING,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1635,PASEO SAN FRANCISCO,TIENDA,1,PYCCA,1505.75,-0.19922079431027076," -78.43651878566568",QUITO,QUITO,PICHINCHA
1636,BOSQUES DE LA COSTA,TIENDA,1,PYCCA,1285.8,-2.184658109,-79.9673417,GUAYAQUIL,GUAYAQUIL,GUAYAS
1637,POLIP. BOSQUES COSTA,TIENDA,1,POLIPAPEL,91,-2.184586,-79.967665,GUAYAQUIL,GUAYAQUIL,GUAYAS
1638,POLIP. AMBATO - P. SHOPPING,TIENDA,1,POLIPAPEL,81.24,-1.263904971,-78.63905119,PROV. SIERRA,AMBATO,TUNGURAHUA
1640,MARKETPLACE,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1641,POLIP. GRANADOS PLAZA,TIENDA,1,POLIPAPEL,94.94,-0.16854532465558936,-78.47586919923901,QUITO,QUITO,PICHINCHA
1642,REPARADOS DE TALLERES,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1643,POLIP. LA PIAZZA - SAMBORONDON,TIENDA,1,POLIPAPEL,250,-2.1443640895949385,-79.86184788594137,GUAYAQUIL,SAMBORONDON,GUAYAS
1644,QUEVEDO - LA QUADRA,TIENDA,1,PYCCA,734.61,-1.043395399,-79.4784687,PROV. COSTA,QUEVEDO,LOS RIOS
1645,LA PIAZZA - C. CELESTE,TIENDA,1,PYCCA,1247.69,-2.073165922,-79.84731724,GUAYAQUIL,SAMBORONDON,GUAYAS
1647,MACHALA - ORO PLAZA,TIENDA,1,PYCCA,697.26,-3.2818941400188897," -79.92924961181922",PROV. COSTA,MACHALA,EL ORO
1648,PLAYAS - P. SHOPPING,TIENDA,1,PYCCA,366.77,-2.643240121,-80.38531058,PROV. COSTA,PLAYAS,GUAYAS
1649,POLIP. DURAN - PLAZA TIA.,TIENDA,1,POLIPAPEL,97,-2.168955509,-79.79509135,PROV. COSTA,DURAN,GUAYAS
1650,POLIP. MILAGRO - PLAZA TIA,TIENDA,1,POLIPAPEL,76.34,-2.1244085352145134,-79.5804994644022,PROV. COSTA,MILAGRO,GUAYAS
1651,OFICINA ADMINISTRATIVA,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1652,AVERIADOS EN GARANTIA,N/A,1,,0,,,,GUAYAQUIL,GUAYAS
1653,LOJA - PLAZA DEL VALLE,TIENDA,1,PYCCA,1417,-3.980310016,-79.20140746,PROV. COSTA,LOJA,LOJA
1654,BODEGA - PET STATION H,BODEGA,0,,0,,,,GUAYAQUIL,GUAYAS
1655,P.S. LA PIAZZA - C. CELESTE,TIENDA,1,PET STATION,198.41,-2.073165922,-79.84731724,GUAYAQUIL,SAMBORONDON,GUAYAS
1656,DURAN - PLAZA TIA,TIENDA,1,PYCCA,1120.74,-2.161288494,-79.79485076,PROV. COSTA,DURAN,GUAYAS
1657,P.S. URDESA,TIENDA,1,PET STATION,78.05,-2.172204,-79.906088,GUAYAQUIL,GUAYAQUIL,GUAYAS
1658,P.S. LA PIAZZA - CEIBOS,TIENDA,1,PET STATION,117.89,-2.175894413,-79.94214546,GUAYAQUIL,GUAYAQUIL,GUAYAS
1659,POLIP. PURUHA SHOPPING,TIENDA,1,POLIPAPEL,86.95,-0.291075556,-78.44724768,QUITO,QUITO,PICHINCHA
1660,P.S. ROTONDA,TIENDA,1,PET STATION,88.47,-2.1390866,-79.9082623,GUAYAQUIL,GUAYAQUIL,GUAYAS
1661,POLIP. BABAHOYO - P. SHOPPING,TIENDA,1,POLIPAPEL,90,-1.8128933534086347,-79.54553996413692,PROV. COSTA,BABAHOYO,LOS RIOS
1662,POLIP. QUEVEDO - LA QUADRA,TIENDA,1,POLIPAPEL,90,-1.043614637,-79.47920346,PROV. COSTA,QUEVEDO,LOS RIOS
1663,ON LINE - PETSTATION,TIENDA,1,PET STATION,0,-2.1912425,-79.8840266,ON LINE,GUAYAQUIL,GUAYAS
1664,POLIP. AMBATO - MULTIPLAZA,TIENDA,1,POLIPAPEL,107.66,-1.2332334171149733,-78.61877424883038,PROV. SIERRA,AMBATO,TUNGURAHUA
1665,OFICINA SISTEMAS,N/A,1,,0,,,,GUAYAQUIL,GUAYAS
1666,P.S. V COSTA KM 14,TIENDA,1,PET STATION,157.02,-2.181475,-79.995283,GUAYAQUIL,GUAYAQUIL,GUAYAS
1667,P.S. 6 DE DICIEMBRE,TIENDA,1,PET STATION,140.3,-0.1851396,-78.4789602,QUITO,QUITO,PICHINCHA
1668,P.S. PASEO SAN FRANCISCO,TIENDA,1,PET STATION,235.69,-0.199211225,-78.43644359,QUITO,QUITO,PICHINCHA
1669,P.S. RC - EL DORADO,TIENDA,1,PET STATION,233.55,-2.053929364,-79.87338166,GUAYAQUIL,DAULE,GUAYAS
1670,P.S. QUICENTRO NORTE,TIENDA,1,PET STATION,159.17,-0.176149154,-78.47865789,QUITO,QUITO,PICHINCHA
1671,P.S. QUEVEDO - LA QUADRA,TIENDA,0,PET STATION,106.67,-1.043006366,-79.47841765,PROV. COSTA,QUEVEDO,LOS RIOS
1672,POLIP. PLAZA TIA - CENTRAL,TIENDA,1,POLIPAPEL,126.47,-2.042303901,-79.86740866,GUAYAQUIL,DAULE,GUAYAS
1673,POLIP. PLAYAS - P. SHOPPING,TIENDA,1,POLIPAPEL,36.58,-2.642782834,-80.38494471,PROV. COSTA,PLAYAS,GUAYAS
1674,MANTA - P. SHOPPING,TIENDA,1,PYCCA,1235.18,-0.9666580732566038," -80.7053876991699",PROV. COSTA,MANTA,MANABI
1678,P.S. GONZALEZ SUAREZ,TIENDA,1,PET STATION,142.06,-0.194419724,-78.47768776,QUITO,QUITO,PICHINCHA
1679,P.S. MODERNA PLAZA,TIENDA,1,PET STATION,172.14,-2.128550033,-79.86325666,GUAYAQUIL,SAMBORONDON,GUAYAS
1680,BODEGA - PET STATION UIO H,BODEGA,1,,0,,,,QUITO,PICHINCHA
1681,MALL DEL NORTE,TIENDA,1,PYCCA,1032,-2.095750,-79.912375,GUAYAQUIL,GUAYAQUIL,GUAYAS
1682,P.S. VILLA CLUB,TIENDA,1,PET STATION,171.85,-2.047122209,-79.89009707,GUAYAQUIL,DAULE,GUAYAS
1683,POLIP. PLAZA TIA - LA JOYA,TIENDA,1,POLIPAPEL,108.74,-2.028451764,-79.9118204,GUAYAQUIL,DAULE,GUAYAS
1684,P.S. LA PIAZZA-VILLAS DEL REY,TIENDA,1,PET STATION,160.16,-2.027439578,-79.91816085,GUAYAQUIL,DAULE,GUAYAS
1685,LA PIAZZA - VILLAS DEL REY,TIENDA,1,PYCCA,1037.38,-2.027784227663549," -79.91813965212316",GUAYAQUIL,DAULE,GUAYAS
1686,P.S. PORTOVIEJO - LA QUADRA,TIENDA,1,PET STATION,154.97,-1.045020774,-80.4779529,PROV. COSTA,PORTOVIEJO,MANABI
1687,POLIP. PORTOVIEJO - LA QUADRA,TIENDA,1,POLIPAPEL,92.95,-1.045035919,-80.47817803,PROV. COSTA,PORTOVIEJO,MANABI
1688,PORTOVIEJO - LA QUADRA,TIENDA,1,PYCCA,979.96,-1.044123865,-80.47801739,PROV. COSTA,PORTOVIEJO,MANABI
1689,POLIP. MANTA-MALL DEL PACIFICO,TIENDA,1,POLIPAPEL,126.12,-0.942649088,-80.73222236,PROV. COSTA,MANTA,MANABI
1690,P.S. MANTA-MALL DEL PACIFICO,TIENDA,1,PET STATION,155.62,-0.942359479,-80.73244763,PROV. COSTA,MANTA,MANABI
1691,SALINAS - PLAZA MUEY,TIENDA,1,PYCCA,881.44,-2.2265124,-80.9211195,PROV. COSTA,SALINAS,SANTA ELENA
1692,LOJA - PLAZA DEL VALLE(OLD),TIENDA,0,PYCCA,0,-2.905942,-79.0050023,PROV. SIERRA,LOJA,LOJA
1693,POLIP. LOJA - PLAZA DEL VALLE,TIENDA,1,POLIPAPEL,101.36,-3.980843501,-79.20241639,PROV. SIERRA,LOJA,LOJA
1694,PC BY PS - EL RECREO,TIENDA,1,PET STATION,19.78,-0.252059,-78.523369,QUITO,QUITO,PICHINCHA
1695,P.S. QUICENTRO SUR,TIENDA,1,PET STATION,241.28,-0.2860833,-78.5425833,QUITO,QUITO,PICHINCHA
1697,RIOBAMBA - P. SHOPPING,TIENDA,1,PYCCA,1388.71,-1.653264,-78.646513,PROV. SIERRA,RIOBAMBA,CHIMBORAZO
1699,LOGISTICA INVERSA,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1700,POLIP. EL BOSQUE UIO,TIENDA,1,POLIPAPEL,79.92,-0.161853957,-78.49750565,QUITO,QUITO,PICHINCHA
1704,BODEGAZO CD,TIENDA,0,PYCCA,0,-2.163622119596148," -79.92550675207677",GUAYAQUIL,GUAYAQUIL,GUAYAS
1705,P.S. MACHALA - GRAN PIAZZA,TIENDA,1,PET STATION,192.5,-1.0435257,-79.4811224,PROV. COSTA,MACHALA,EL ORO
1706,MACHALA - GRAN PIAZZA,TIENDA,1,PYCCA,1394.16,-3.2717145,-79.9412951,PROV. COSTA,MACHALA,EL ORO
1707,POLIP. MACHALA- GRAN PIAZZA,TIENDA,1,POLIPAPEL,78.33,-3.28020263778552,-79.932149090115,PROV. COSTA,MACHALA,EL ORO
1708,P.S. PORTAL SHOPPING,TIENDA,1,PET STATION,141.37,-0.1086272,-78.4572094,QUITO,QUITO,PICHINCHA
1711,BODEGA PET STATION - ALMAX,BODEGA,1,,0,-2.040188,-79.8481098,,GUAYAQUIL,GUAYAS
1712,POLIP. HIPER - VIA LA COSTA,TIENDA,1,POLIPAPEL,82.37,-2.184586,-79.967665,GUAYAQUIL,GUAYAQUIL,GUAYAS
1713,POLIP. PORTAL SHOPPING,TIENDA,1,POLIPAPEL,146.12,-0.1989303,-78.4368521,QUITO,QUITO,PICHINCHA
1714,PC BY PS - MALL DEL SOL,TIENDA,1,PET STATION,23.26,-2.1558591,-79.8937752,GUAYAQUIL,GUAYAQUIL,GUAYAS
1715,P.S. V COSTA KM 20,TIENDA,1,PET STATION,209.78,-2.1977501,-80.0615453,GUAYAQUIL,GUAYAQUIL,GUAYAS
1716,P.S. ANIMALOPOLIS C. CELESTE,BODEGA,1,,0,,,,,
1717,P.S. ANIMALOPOLIS URDESA,BODEGA,1,,0,,,,,
